Time,BOI_FLOW_1,BOI_FLOW_2,BOI_GAS_CSUM_1,BOI_GAS_CSUM_2,BOI_RW_TEMP_1,BOI_RW_TEMP_2,BOI_STA_1,BOI_STA_2,BOI_SW_TEMP_1,BOI_SW_TEMP_2,HWL_DP,HWL_DPSPT,HWL_RW_TEMP,HWL_SW_TEMP,OA_TEMP,PM_POW_1,PM_POW_2,PM_SPD_1,PM_SPD_2,PM_STA_1,PM_STA_2,SEC_POW
23,364.5661011,0.000679879,1726.88233,0,110.8190994,68.00505066,1,0,135.8582153,175.973526,336.0474638,480.5220059,123.036171,135.8523865,9.085541,11.44608402,11.44608402,1,1,1,1,508.4342317
24,364.5661011,0.000679879,1726.88233,0,111.2938766,68.00521851,1,0,136.3344116,175.9730835,336.0474638,480.5220059,123.495842,136.3285828,9.085541,11.44608402,11.44608402,1,1,1,1,509.2146105
25,364.5661011,0.000679879,1726.88233,0,111.7681046,68.00532532,1,0,136.809845,175.972641,336.0474638,480.5220059,123.9557266,136.8040161,9.09977,11.44608402,11.44608402,1,1,1,1,509.2146105
26,364.5661011,0.000679879,1726.88233,0,112.24189,68.00549316,1,0,137.2845612,175.9721527,336.0474638,480.5220059,124.421875,137.2787933,9.114052,11.44608402,11.44608402,1,1,1,1,507.3695093
27,364.5661011,0.000679879,1726.88233,0,112.7153397,68.00559998,1,0,137.7588501,175.9717102,336.0474638,480.5220059,124.8865967,137.7530212,9.128334,11.44608402,11.44608402,1,1,1,1,508.4850113
28,364.5661011,0.000679879,1726.88233,0,113.1884689,68.00576782,1,0,138.2326355,175.9712677,336.0474638,480.5220059,125.351265,138.2268677,9.142561,11.44608402,11.44608402,1,1,1,1,508.9950053
29,364.5661011,0.000679879,1726.88233,0,113.6612625,68.00593567,1,0,138.7060242,175.9707794,336.0474638,480.5220059,125.8154373,138.7002563,9.156843,11.44608402,11.44608402,1,1,1,1,509.6725792
30,364.5661011,0.000679879,1726.88233,0,114.1337891,68.00604248,1,0,139.1791077,175.9703369,336.0474638,480.5220059,126.2836761,139.1733398,9.17107,11.44608402,11.44608402,1,1,1,1,508.4356972
31,364.5661011,0.000679879,1726.88233,0,114.6061478,68.00621033,1,0,139.651886,175.9698944,336.0474638,480.5220059,126.7516403,139.6461182,9.199579,11.44608402,11.44608402,1,1,1,1,508.4724446
32,364.5661011,0.000679879,1726.88233,0,115.078392,68.00637054,1,0,140.1244812,175.9694519,336.0474638,480.5220059,127.2210846,140.1187134,9.199579,11.44608402,11.44608402,1,1,1,1,507.8421331
33,364.5661011,0.000679879,1726.88233,0,115.5505829,68.00648499,1,0,140.5968933,175.9690094,336.0474638,480.5220059,127.6923981,140.5911255,9.213861,11.44608402,11.44608402,1,1,1,1,507.8421331
34,364.5661011,0.000679879,1726.88233,0,116.0226669,68.0066452,1,0,141.0691223,175.9685211,336.0474638,480.5220059,128.1616821,141.0633545,9.228088,11.44608402,11.44608402,1,1,1,1,508.7662407
35,364.5661011,0.000679879,1726.88233,0,116.4946365,68.00680542,1,0,141.5413208,175.9680786,336.0474638,480.5220059,128.6306305,141.535553,9.242371,11.44608402,11.44608402,1,1,1,1,509.0745819
36,364.5661011,0.000679879,1726.88233,0,116.9664993,68.00697327,1,0,142.0133514,175.9676361,336.0474638,480.5220059,129.0981445,142.0075836,9.256599,11.44608402,11.44608402,1,1,1,1,509.8226464
37,364.5661011,0.000679879,1726.88233,0,117.4424286,68.00714111,1,0,142.4863586,175.9672089,336.0474638,480.5220059,129.7328796,142.480545,9.270882,11.44608402,11.44608402,1,1,1,1,437.9810886
38,364.5661011,0.000679879,1726.88233,0,117.9177017,68.00724792,1,0,142.9606476,175.9667664,336.0474638,480.5220059,130.1052704,142.954834,9.285109,11.44608402,11.44608402,1,1,1,1,544.047164
39,364.5661011,0.000679879,1726.88233,0,118.4137878,68.00741577,1,0,143.4398804,175.9663239,336.0474638,480.5220059,131.5276184,143.4339905,9.313618,11.44608402,11.44608402,1,1,1,1,97.44474959
40,364.5661011,0.000679879,1726.88233,0,118.9402466,68.00758362,1,0,143.9336548,175.9658813,336.0474638,480.5220059,132.8688354,143.9275513,9.313618,11.44608402,11.44608402,1,1,1,1,726.1940858
41,364.5661011,0.000679879,1726.88233,0,119.4640198,68.00774384,1,0,144.4440308,175.9654388,336.0474638,480.5220059,132.618988,144.4377594,9.327845,11.44608402,11.44608402,1,1,1,1,726.1940858
42,364.5661011,0.000679879,1726.88233,0,119.970932,68.00790405,1,0,144.9546204,175.9650116,336.0474638,480.5220059,132.958313,144.9483948,9.342127,11.44608402,11.44608402,1,1,1,1,502.0835607
43,364.5661011,0.000679879,1726.88233,0,120.473938,68.0080719,1,0,145.4628296,175.9645691,336.0474638,480.5220059,133.3613434,145.4566345,9.356354,11.44608402,11.44608402,1,1,1,1,488.1945776
44,364.5661011,0.000679879,1726.88233,0,120.970192,68.00823975,1,0,145.9665527,175.9641876,336.0474638,480.5220059,133.6729126,145.9604645,9.370636,11.44608402,11.44608402,1,1,1,1,534.5140133
45,364.5661011,0.000679879,1726.88233,0,121.4613342,68.00840759,1,0,146.4656067,175.9637451,336.0474638,480.5220059,134.0596924,146.4595184,9.384865,11.44608402,11.44608402,1,1,1,1,511.3201676
46,364.5661011,0.000679879,1726.88233,0,121.9495163,68.00862122,1,0,146.9608765,175.9633026,336.0474638,480.5220059,134.4604797,146.954834,9.399147,11.44608402,11.44608402,1,1,1,1,510.9944236
47,364.5661011,0.000679879,1726.88233,0,122.4345093,68.00878906,1,0,147.452179,175.9628601,336.0474638,480.5220059,134.8734436,147.4461975,9.427601,11.44608402,11.44608402,1,1,1,1,509.7052599
48,364.5661011,0.000679879,1726.88233,0,122.9170837,68.00895691,1,0,147.940033,175.9624176,336.0474638,480.5220059,135.2992249,147.9340515,9.427601,11.44608402,11.44608402,1,1,1,1,510.7335279
49,364.5661011,0.000679879,1726.88233,0,123.3975677,68.00911713,1,0,148.4249725,175.9620361,336.0474638,480.5220059,135.7304382,148.4190369,9.441883,11.44608402,11.44608402,1,1,1,1,510.7335279
50,364.5661011,0.000679879,1726.88233,0,123.8763504,68.00927734,1,0,148.9074402,175.9615936,336.0474638,480.5220059,136.1702271,148.9015503,9.45611,11.44608402,11.44608402,1,1,1,1,509.9749851
51,364.5661011,0.000679879,1726.88233,0,124.3537598,68.00950623,1,0,149.3879242,175.9611664,336.0474638,480.5220059,136.6142883,149.3820496,9.470392,11.44608402,11.44608402,1,1,1,1,510.4602122
52,364.5661011,0.000679879,1726.88233,0,124.8299637,68.00966644,1,0,149.8666992,175.9607697,336.0474638,480.5220059,137.0640564,149.8608856,9.484619,11.44608402,11.44608402,1,1,1,1,509.9663387
53,364.5661011,0.000679879,1726.88233,0,125.3053436,68.00982666,1,0,150.3441162,175.9603424,336.0474638,480.5220059,137.5197144,150.3382874,9.498901,11.44608402,11.44608402,1,1,1,1,509.049815
54,364.5661011,0.000679879,1726.88233,0,125.7798996,68.00999451,1,0,150.8204346,175.9598999,336.0474638,480.5220059,137.9736786,150.8146057,9.527357,11.44608402,11.44608402,1,1,1,1,510.9609735
55,364.5661011,0.000679879,1726.88233,0,126.2537384,68.01021576,1,0,151.2957459,175.9595184,336.0474638,480.5220059,138.4319153,151.2899323,9.527357,11.44608402,11.44608402,1,1,1,1,510.2928521
56,364.5661011,0.000679879,1726.88233,0,126.7270279,68.01037598,1,0,151.7702637,175.9590759,336.0474638,480.5220059,138.8910828,151.7644348,9.541639,11.44608402,11.44608402,1,1,1,1,508.6252963
57,364.5661011,0.000679879,1726.88233,0,127.1998825,68.01060486,1,0,152.2440948,175.9586945,336.0474638,480.5220059,139.3574066,152.238327,9.555866,11.44608402,11.44608402,1,1,1,1,508.6252963
58,364.5661011,0.000679879,1726.88233,0,127.6724548,68.01076508,1,0,152.7174377,175.958252,336.0474638,480.5220059,139.8209839,152.7116699,9.570148,11.44608402,11.44608402,1,1,1,1,510.2176719
59,363.3972778,0.000675526,1726.88233,0,128.1443787,68.01092529,1,0,153.2001343,175.9578705,358.8050138,480.5220059,140.2855225,153.1938629,9.584375,11.47089767,11.47089767,1,1,1,1,509.8755143
60,344.8845215,0.000608452,1726.88233,0,128.6105347,68.01115417,1,0,153.8128357,175.9574738,468.1007921,480.5220059,140.7402649,153.800354,9.598602,10.55546665,10.55546665,0.923788667,0.923788667,1,1,509.6251703
61,219.8979187,0.000247355,1726.88233,0,128.9669189,68.01119995,1,0,157.2050171,175.9573212,470.9405639,480.5220059,140.9268036,157.1074677,9.6128845,3.698850155,3.698850155,0.644363105,0.644363105,1,1,511.0500759
62,144.6525726,0.000107036,1726.88233,0,129.1917572,68.01119995,1,0,163.4586029,175.9572601,473.107786,480.5220059,140.9124146,163.2517395,9.644196,1.710136414,1.710136414,0.492597699,0.492597699,1,1,510.2293959
63,101.0847549,5.23E-05,821.0410992,0,129.3407898,68.01119995,1,0,169.7378998,175.9572601,474.7718511,480.5220059,140.8045807,169.6466064,9.661224,1.050959229,1.050959229,0.415935457,0.415935457,1,1,510.3856915
64,80.1710434,3.29E-05,625.1121758,0,129.4471893,68.01119995,1,0,170.1176453,175.9572601,476.0521532,480.5220059,140.4944916,170.1034088,9.661224,0.819956362,0.819956362,0.385215074,0.385215074,1,1,510.1190072
65,78.78258514,3.17E-05,600.4929849,0,129.5368958,68.01119995,1,0,170.2949677,175.9572601,477.0385419,480.5220059,140.0669556,170.2878723,9.678253,0.807472765,0.807472765,0.386746496,0.386746496,1,1,510.1190072
66,92.47602844,4.37E-05,690.0273044,0,129.6295624,68.01119995,1,0,170.34935,175.9572601,477.7982456,480.5220059,139.7050171,170.3487396,9.695337,0.955662549,0.955662549,0.413301855,0.413301855,1,1,510.3969026
67,116.0907669,6.89E-05,857.896226,0,129.7395325,68.01119995,1,0,170.3179779,175.9572601,478.3909878,480.5220059,139.5738373,170.3198395,9.712421,1.256184578,1.256184578,0.443632752,0.443632752,1,1,508.7302627
68,129.1552429,8.53E-05,971.920406,0,129.8715363,68.01119995,1,0,170.335495,175.9572601,478.8504358,480.5220059,139.8669434,170.3320465,9.72945,1.454986334,1.454986334,0.477329761,0.477329761,1,1,438.4575959
69,127.4421768,8.31E-05,961.8316109,0,130.0078735,68.01119995,1,0,170.4845886,175.9572601,479.2205627,480.5220059,139.955658,170.479538,9.746479,1.428452253,1.428452253,0.474416822,0.474416822,1,1,546.2648685
70,123.0019608,7.74E-05,934.9162379,0,130.1414185,68.01126099,1,0,170.6466827,175.9572601,479.5125207,480.5220059,140.086792,170.6400909,9.763563,1.36018014,1.36018014,0.463763416,0.463763416,1,1,511.7002817
71,84.10716248,3.62E-05,690.1777379,0,130.2606201,68.01126099,1,0,171.0108795,175.9572601,479.7624607,480.5220059,141.0092468,170.985733,9.797676,0.867545426,0.867545426,0.389355808,0.389355808,1,1,96.51139096
72,40.16350937,8.25E-06,345.5832554,0,130.3301086,68.01126099,1,0,171.4749451,175.9572601,479.9518846,480.5220059,141.4578857,171.4367676,9.797676,0.459884167,0.459884167,0.325554192,0.325554192,1,1,785.2848776
73,32.45811462,5.39E-06,251.3651979,0,130.3670197,68.01126099,1,0,171.7100067,175.9572601,480.0785723,480.5220059,140.3056946,171.6872559,9.814705,0.391583562,0.391583562,0.322817594,0.322817594,1,1,785.2848776
74,52.17134857,1.39E-05,384.5937663,0,130.4073944,68.01126099,1,0,171.6971436,175.9572601,480.1659377,480.5220059,139.2958374,171.7023621,9.831787,0.564444304,0.564444304,0.352081388,0.352081388,1,1,455.3774163
75,94.06650543,4.53E-05,673.0737409,0,130.4715576,68.01126099,1,0,171.5132294,175.9572601,480.2179447,480.5220059,138.8164368,171.5268555,9.848816,0.978474259,0.978474259,0.425633043,0.425633043,1,1,487.3154608
76,163.227417,0.00013629,1166.176022,0,130.5847778,68.01126099,1,0,171.1137238,175.9572601,480.2350161,480.5220059,138.9635468,171.125412,9.8659,2.10927105,2.10927105,0.566189528,0.566189528,1,1,533.4216662
77,189.431366,0.000183562,1420.800785,0,130.7565308,68.01126099,1,0,170.9579926,175.9571991,480.2890315,480.5220059,139.8378906,170.9540253,9.882929,2.767190933,2.767190933,0.597263098,0.597263098,1,1,511.4442222
78,141.752121,0.000102787,1111.483268,0,130.92453,68.01126099,1,0,171.3898621,175.9571991,480.3790395,480.5220059,140.5112,171.3739777,9.900013,1.675127149,1.675127149,0.489488155,0.489488155,1,1,509.1170082
79,99.2498703,5.04E-05,781.8332588,0,131.0459747,68.01126099,1,0,171.8429413,175.9571991,480.4507606,480.5220059,140.6170349,171.8269501,9.934071,1.0400877,1.0400877,0.380090356,0.380090356,1,1,510.5723229
80,81.21125793,3.37E-05,629.9719204,0,131.1347961,68.01126099,1,0,172.1068878,175.9571991,480.4647665,480.5220059,140.3814392,172.096283,9.934071,0.838333607,0.838333607,0.388461709,0.388461709,1,1,509.5793001
81,80.47598267,3.31E-05,611.7709233,0,131.2114258,68.01126099,1,0,172.2275696,175.9571991,480.4766055,480.5220059,140.0335693,172.2233429,9.951155,0.830722868,0.830722868,0.390287817,0.390287817,1,1,509.5793001
82,92.09539795,4.34E-05,688.6725962,0,131.289978,68.01126099,1,0,172.2458038,175.9571991,480.4779797,480.5220059,139.7492981,172.24646,9.9681835,0.956444681,0.956444681,0.414160848,0.414160848,1,1,509.6751438
83,110.1903687,6.21E-05,819.5185913,0,131.3804626,68.01126099,1,0,172.2046661,175.9571991,480.4812037,480.5220059,139.6689148,172.2064667,9.985212,1.179387689,1.179387689,0.433762997,0.433762997,1,1,507.8316548
84,123.389122,7.79E-05,923.6014788,0,131.4848328,68.01126099,1,0,172.1887817,175.9571991,480.4799881,480.5220059,139.7945557,172.1881866,10.002296,1.368309975,1.368309975,0.464911312,0.464911312,1,1,509.2778468
85,123.3644409,7.79E-05,934.7282143,0,131.5958862,68.01126099,1,0,172.2678375,175.9571991,480.4895015,480.5220059,140.0054932,172.2634888,10.019325,1.367955089,1.367955089,0.46520713,0.46520713,1,1,508.3228537
86,113.6067123,6.60E-05,867.6000342,0,131.7025146,68.01126099,1,0,172.4269104,175.9571991,480.503666,480.5220059,140.1438599,172.4203186,10.053436,1.226013541,1.226013541,0.44534421,0.44534421,1,1,509.9857932
87,103.799942,5.51E-05,793.2158705,0,131.799408,68.01126099,1,0,172.5915375,175.9571991,480.5139194,480.5220059,140.1646729,172.5850677,10.070465,1.096368432,1.096368432,0.427606642,0.427606642,1,1,508.4035295
88,98.62541962,4.98E-05,750.303759,0,131.8883057,68.01126099,1,0,172.7211304,175.9571991,480.5186762,480.5220059,140.0978394,172.7161255,10.070465,1.032700777,1.032700777,0.419141799,0.419141799,1,1,508.4160962
89,98.6912384,4.98E-05,746.3440513,0,131.9732666,68.01126099,1,0,172.8076477,175.9571991,480.518729,480.5220059,140.0031738,172.8043976,10.087549,1.033491731,1.033491731,0.420956284,0.420956284,1,1,508.4160962
90,102.3344574,5.36E-05,770.7460185,0,132.0584106,68.01126099,1,0,172.8621368,175.9571991,480.516932,480.5220059,139.9395752,172.8600006,10.104578,1.078025818,1.078025818,0.428009123,0.428009123,1,1,508.4945737
91,106.365036,5.79E-05,800.3919844,0,132.145874,68.01126099,1,0,172.9089355,175.9571533,480.5153993,480.5220059,139.9310608,172.9069061,10.121607,1.129110694,1.129110694,0.435620517,0.435620517,1,1,508.4390312
92,108.4399109,6.02E-05,817.1819248,0,132.2349243,68.01126099,1,0,172.9672241,175.9571533,480.5158221,480.5220059,139.9631348,172.9645844,10.138636,1.156190276,1.156190276,0.438497066,0.438497066,1,1,508.4270874
93,107.853775,5.95E-05,814.5887225,0,132.3239136,68.01126099,1,0,173.0438538,175.9571533,480.5178305,480.5220059,140.0084534,173.0404511,10.15572,1.148489952,1.148489952,0.43680045,0.43680045,1,1,506.9510358
94,105.8063126,5.73E-05,799.8029267,0,132.4108582,68.01126099,1,0,173.1314697,175.9571533,480.5199975,480.5220059,140.0324707,173.1277924,10.189777,1.121920586,1.121920586,0.433056772,0.433056772,1,1,508.9186894
95,103.85009,5.52E-05,784.6787468,0,132.4953003,68.01126099,1,0,173.2176514,175.9571533,480.5216888,480.5220059,140.0351563,173.2140808,10.2068615,1.097016811,1.097016811,0.429483086,0.429483086,1,1,508.10563
96,102.6446075,5.39E-05,774.6778817,0,132.5775146,68.01131439,1,0,173.2966461,175.9571533,480.5224816,480.5220059,140.0243225,173.2934113,10.2068615,1.081899166,1.081899166,0.427379727,0.427379727,1,1,508.7192348
97,102.4979782,5.37E-05,772.226833,0,132.6582184,68.01131439,1,0,173.3660736,175.9571533,480.5223759,480.5220059,140.0045471,173.3632202,10.22389,1.080071688,1.080071688,0.427369714,0.427369714,1,1,508.7192348
98,102.9798508,5.42E-05,775.0020503,0,132.7380981,68.01131439,1,0,173.4281464,175.9571533,480.521953,480.5220059,139.9945679,173.4255219,10.240919,1.086085558,1.086085558,0.428297967,0.428297967,1,1,507.2826052
99,98.20737457,4.93E-05,747.2054722,0,132.816925,68.01131439,1,0,173.5173645,175.9571533,480.5258113,480.5220059,140.1412354,173.512085,10.257948,1.027702928,1.027702928,0.417801559,0.417801559,1,1,435.2637585
100,95.58078003,4.67E-05,717.6217168,0,132.8904724,68.01131439,1,0,173.6123962,175.9571533,480.5253885,480.5220059,139.9780884,173.6099701,10.274977,0.996643364,0.996643364,0.415953785,0.415953785,1,1,544.4987579
101,101.635376,5.28E-05,759.0705998,0,132.9641418,68.01131439,1,0,173.6299744,175.9571533,480.520896,480.5220059,139.9050751,173.629425,10.292061,1.069369793,1.069369793,0.426734179,0.426734179,1,1,510.3474786
102,106.2674561,5.78E-05,794.5899233,0,133.0410919,68.01131439,1,0,173.6511688,175.9571533,480.5183062,480.5220059,139.9217224,173.6499634,10.30909,1.127856374,1.127856374,0.4350079,0.4350079,1,1,508.8289641
103,79.68605042,3.25E-05,639.8023478,0,133.1170654,68.01131439,1,0,173.8499756,175.9571533,480.5487493,480.5220059,140.8269959,173.8315125,10.343147,0.822699785,0.822699785,0.35594517,0.35594517,1,1,96.33228854
104,40.43163681,8.36E-06,336.845175,0,133.1666565,68.01131439,1,0,174.2040558,175.9571533,480.5541403,480.5220059,141.3273621,174.1744537,10.343147,0.46287322,0.46287322,0.325913757,0.325913757,1,1,96.33228854
105,33.65192032,5.79E-06,251.1574266,0,133.1939087,68.01131439,1,0,174.3641357,175.9571533,480.5472166,480.5220059,140.2140198,174.3520508,10.360176,0.402822912,0.402822912,0.324492306,0.324492306,1,1,780.7284183
106,54.21220779,1.50E-05,390.2126765,0,133.2228699,68.01131439,1,0,174.2752533,175.9571533,480.5297224,480.5220059,139.2808838,174.2867889,10.377258,0.582799017,0.582799017,0.35703814,0.35703814,1,1,453.8621625
107,94.00746918,4.52E-05,665.4367273,0,133.2673035,68.01131439,1,0,174.0373993,175.9571533,480.5037189,480.5220059,138.9074097,174.0525665,10.394287,0.97834456,0.97834456,0.424069256,0.424069256,1,1,484.4424579
108,151.1049652,0.000116798,1052.065963,0,133.7895355,68.01131439,1,0,173.6874237,175.9571533,479.9991877,480.5220059,139.1002197,173.7002869,10.411316,7.616117954,-4848.256836,1,0,1,0,532.3963658
109,167.0511169,0.000142751,1231.934765,0,133.9838867,68.01131439,1,0,173.5422516,175.9571533,480.3568414,480.5220059,139.9144592,173.538559,10.428345,4.643243313,-0.000140007,0.732225358,0,1,0,509.7269493
110,125.6969604,8.08E-05,958.9720541,0,134.1770782,68.01131439,1,0,173.8750763,175.9570923,480.4413528,480.5220059,140.4926147,173.8617249,10.462402,2.513894081,-3.27E-08,0.597907007,0,1,0,509.0371018
111,91.22100067,4.26E-05,694.2381988,0,134.3201752,68.01131439,1,0,174.2010345,175.9570923,480.4926198,480.5220059,140.5593109,174.188797,10.479486,1.552614689,-3.87E-13,0.502415717,0,1,0,507.109896
112,76.8536911,3.02E-05,574.2860346,0,134.427063,68.01131439,1,0,174.3740234,175.9570923,480.5113825,480.5220059,140.3302002,174.367157,10.479486,1.262683392,-4.14E-14,0.466728449,0,1,0,507.109896
113,77.24010468,3.05E-05,565.3491957,0,134.5190735,68.01131439,1,0,174.4286804,175.9570923,480.5114354,480.5220059,140.0047302,174.4276276,10.496515,1.269841671,-3.88E-14,0.472516418,0,1,0,508.58712
114,88.39577484,4.00E-05,637.2201368,0,134.6116943,68.01131439,1,0,174.3969269,175.9570923,480.5001778,480.5220059,139.7486267,174.3998413,10.513544,1.491447687,-4.24E-14,0.510114014,0,1,0,509.0024427
115,104.5782166,5.59E-05,750.6631729,0,134.715683,68.01131439,1,0,174.3199158,175.9570923,480.4923027,480.5220059,139.6890869,174.3232117,10.530573,1.873447776,-4.90E-14,0.547396719,0,1,0,508.0648891
116,115.4229431,6.81E-05,833.7065364,0,134.8336792,68.01131439,1,0,174.2733917,175.9570923,480.4869646,480.5220059,139.8204346,174.273941,10.547602,2.177025557,-5.43E-14,0.5833655,0,1,0,508.4562875
117,114.3195343,6.69E-05,834.1242039,0,134.9579773,68.01131439,1,0,174.3122711,175.9570923,480.4966895,480.5220059,140.0203857,174.3093719,10.5646305,2.144239664,-5.38E-14,0.578629136,0,1,0,506.3662647
118,105.4231949,5.69E-05,772.8772952,0,135.0768127,68.01131439,1,0,174.415329,175.9570923,480.5120168,480.5220059,140.1410522,174.4107208,10.581659,1.895696878,-4.94E-14,0.551013052,0,1,0,508.1553471
119,97.19270325,4.83E-05,710.8946321,0,135.1846313,68.01131439,1,0,174.5186005,175.9570923,480.522693,480.5220059,140.1475525,174.5143738,10.615717,1.689408064,-4.58E-14,0.526669383,0,1,0,506.2032278
120,93.25567627,4.45E-05,677.9471879,0,135.2831268,68.01131439,1,0,174.5903473,175.9570923,480.5260756,480.5220059,140.0805817,174.5876007,10.615717,1.598111987,-4.42E-14,0.516517282,0,1,0,506.2032278
121,93.90441895,4.51E-05,677.9178046,0,135.3764648,68.01131439,1,0,174.6266022,175.9570923,480.5236972,480.5220059,139.9901123,174.6254425,10.632746,1.612837672,-4.45E-14,0.520512879,0,1,0,508.0309994
122,97.54524994,4.87E-05,701.0420756,0,135.4689636,68.01131439,1,0,174.6373596,175.9570923,480.5193104,480.5220059,139.9353943,174.6369781,10.649775,1.697799921,-4.59E-14,0.532025933,0,1,0,507.3053204
123,101.1686707,5.24E-05,726.0882034,0,135.5627289,68.01131439,1,0,174.6450043,175.9570923,480.5161921,480.5220059,139.9338684,174.6445007,10.649775,1.78636241,-4.75E-14,0.54278779,0,1,0,507.1533114
124,102.8506317,5.41E-05,738.5749961,0,135.6573181,68.01131439,1,0,174.6648865,175.9570923,480.5161393,480.5220059,139.967804,174.6637878,10.649775,1.828885794,-4.82E-14,0.546726644,0,1,0,507.0058089
